Time,Lat,Lon,Altitude,Accuracy,Heading,Speed,Battery
2016-02-17 18:19:07 +0000,42.361137,-71.092851,7.400478,25.000000,58.007812,1.060000,0.940000
2016-02-17 18:19:08 +0000,42.361143,-71.092842,7.529842,25.000000,56.953125,1.100000,0.930000
2016-02-17 18:19:09 +0000,42.361150,-71.092832,7.289303,25.000000,56.953125,1.100000,0.930000
2016-02-17 18:19:10 +0000,42.361156,-71.092819,7.520504,25.000000,57.656250,1.200000,0.930000
2016-02-17 18:19:11 +0000,42.361163,-71.092806,7.353207,25.000000,57.656250,1.290000,0.930000
2016-02-17 18:19:12 +0000,42.361170,-71.092789,7.302731,25.000000,58.359375,1.320000,0.930000
2016-02-17 18:19:13 +0000,42.361176,-71.092775,7.323208,25.000000,56.601562,1.320000,0.930000
2016-02-17 18:19:14 +0000,42.361181,-71.092761,7.371120,25.000000,57.304688,1.190000,0.930000
2016-02-17 18:19:15 +0000,42.361187,-71.092745,7.094631,25.000000,56.953125,1.190000,0.930000
2016-02-17 18:19:16 +0000,42.361192,-71.092731,6.950253,25.000000,58.710938,1.180000,0.930000
2016-02-17 18:19:17 +0000,42.361195,-71.092716,7.240292,25.000000,61.523438,1.080000,0.930000
2016-02-17 18:19:18 +0000,42.361201,-71.092704,7.451778,25.000000,59.414062,1.140000,0.930000
2016-02-17 18:19:19 +0000,42.361207,-71.092691,7.531582,25.000000,58.359375,1.140000,0.930000
2016-02-17 18:19:20 +0000,42.361210,-71.092678,7.766384,25.000000,56.250000,1.160000,0.930000
2016-02-17 18:19:21 +0000,42.361213,-71.092662,7.589046,25.000000,61.875000,1.160000,0.930000
2016-02-17 18:19:22 +0000,42.361212,-71.092646,7.694576,25.000000,66.445312,1.110000,0.930000
2016-02-17 18:19:23 +0000,42.361211,-71.092629,7.615322,25.000000,68.203125,1.170000,0.930000
2016-02-17 18:19:24 +0000,42.361218,-71.092620,7.150234,25.000000,57.656250,1.170000,0.930000
2016-02-17 18:19:25 +0000,42.361225,-71.092611,7.032528,25.000000,48.867188,1.170000,0.930000
2016-02-17 18:19:26 +0000,42.361233,-71.092601,7.258266,25.000000,42.187500,1.150000,0.930000
2016-02-17 18:19:27 +0000,42.361245,-71.092596,7.397549,25.000000,40.429688,1.110000,0.930000
2016-02-17 18:19:28 +0000,42.361256,-71.092589,7.624691,25.000000,41.484375,1.110000,0.930000
2016-02-17 18:19:29 +0000,42.361265,-71.092580,7.041744,25.000000,45.000000,1.100000,0.930000
2016-02-17 18:19:30 +0000,42.361268,-71.092569,7.135098,25.000000,54.843750,1.090000,0.930000
2016-02-17 18:19:31 +0000,42.361271,-71.092562,7.145657,25.000000,56.250000,0.900000,0.930000
2016-02-17 18:19:32 +0000,42.361275,-71.092553,7.054989,25.000000,55.898438,1.130000,0.930000
2016-02-17 18:19:33 +0000,42.361282,-71.092541,6.867641,25.000000,54.843750,1.180000,0.930000
2016-02-17 18:19:34 +0000,42.361286,-71.092527,6.786648,25.000000,57.656250,1.130000,0.930000
2016-02-17 18:19:35 +0000,42.361290,-71.092512,6.749569,25.000000,58.710938,1.180000,0.930000
2016-02-17 18:19:36 +0000,42.361295,-71.092496,6.965603,25.000000,59.062500,1.110000,0.930000
2016-02-17 18:19:37 +0000,42.361298,-71.092481,6.855190,25.000000,59.062500,1.110000,0.930000
2016-02-17 18:19:38 +0000,42.361301,-71.092466,6.880764,25.000000,58.359375,1.110000,0.930000
2016-02-17 18:19:39 +0000,42.361304,-71.092450,7.202633,25.000000,56.953125,1.110000,0.930000
2016-02-17 18:19:40 +0000,42.361309,-71.092437,7.341274,25.000000,56.250000,1.160000,0.930000
2016-02-17 18:19:41 +0000,42.361315,-71.092423,7.770168,25.000000,56.250000,1.160000,0.930000
2016-02-17 18:19:42 +0000,42.361320,-71.092409,7.750301,25.000000,56.250000,1.150000,0.930000
2016-02-17 18:19:43 +0000,42.361323,-71.092396,7.899288,25.000000,56.953125,1.150000,0.930000
2016-02-17 18:19:44 +0000,42.361327,-71.092384,8.273556,25.000000,56.953125,1.090000,0.930000
2016-02-17 18:19:45 +0000,42.361333,-71.092370,8.514400,25.000000,56.953125,1.090000,0.930000
2016-02-17 18:19:46 +0000,42.361339,-71.092355,8.802334,25.000000,56.953125,1.160000,0.930000
2016-02-17 18:19:47 +0000,42.361345,-71.092341,8.496273,25.000000,56.601562,1.090000,0.930000
2016-02-17 18:19:48 +0000,42.361352,-71.092325,8.616879,25.000000,56.250000,1.230000,0.930000
2016-02-17 18:19:49 +0000,42.361359,-71.092312,8.341518,25.000000,54.492188,1.180000,0.930000
2016-02-17 18:19:50 +0000,42.361366,-71.092298,8.395840,25.000000,54.492188,1.180000,0.930000
2016-02-17 18:19:51 +0000,42.361370,-71.092285,8.255154,25.000000,53.437500,1.130000,0.930000
2016-02-17 18:19:52 +0000,42.361375,-71.092273,8.391048,25.000000,53.437500,1.160000,0.930000
2016-02-17 18:19:53 +0000,42.361380,-71.092261,8.654873,25.000000,52.734375,1.160000,0.930000
2016-02-17 18:19:54 +0000,42.361386,-71.092248,8.668972,25.000000,52.382812,1.140000,0.930000
2016-02-17 18:19:55 +0000,42.361392,-71.092234,8.898647,25.000000,54.140625,1.140000,0.930000
2016-02-17 18:19:56 +0000,42.361397,-71.092220,9.253017,25.000000,55.195312,1.140000,0.930000
2016-02-17 18:19:57 +0000,42.361403,-71.092207,8.799862,25.000000,55.195312,1.060000,0.930000
2016-02-17 18:19:58 +0000,42.361408,-71.092196,8.737301,25.000000,54.140625,1.060000,0.930000
2016-02-17 18:19:59 +0000,42.361413,-71.092185,8.990627,25.000000,53.085938,0.980000,0.930000
2016-02-17 18:20:00 +0000,42.361419,-71.092172,8.909512,25.000000,54.140625,0.980000,0.930000
2016-02-17 18:20:01 +0000,42.361426,-71.092158,9.139248,25.000000,54.140625,1.100000,0.930000
2016-02-17 18:20:02 +0000,42.361431,-71.092146,8.974239,25.000000,50.273438,1.100000,0.930000
2016-02-17 18:20:03 +0000,42.361436,-71.092137,9.021358,25.000000,44.296875,1.020000,0.930000
2016-02-17 18:20:04 +0000,42.361441,-71.092130,8.441677,25.000000,35.859375,1.020000,0.930000
2016-02-17 18:20:05 +0000,42.361447,-71.092122,8.589535,25.000000,35.859375,1.040000,0.930000
2016-02-17 18:20:06 +0000,42.361453,-71.092114,8.814968,25.000000,37.617188,0.760000,0.930000
2016-02-17 18:20:07 +0000,42.361459,-71.092107,9.269009,25.000000,35.859375,0.760000,0.930000
2016-02-17 18:20:08 +0000,42.361464,-71.092098,9.518795,25.000000,40.429688,0.760000,0.930000
2016-02-17 18:20:09 +0000,42.361471,-71.092088,9.452084,25.000000,42.539062,0.890000,0.930000
2016-02-17 18:20:10 +0000,42.361477,-71.092076,9.405453,25.000000,51.328125,1.030000,0.930000
2016-02-17 18:20:11 +0000,42.361483,-71.092064,9.688778,25.000000,50.976562,1.200000,0.930000
2016-02-17 18:20:12 +0000,42.361491,-71.092052,9.670132,25.000000,47.109375,1.060000,0.930000
2016-02-17 18:20:13 +0000,42.361498,-71.092041,9.844814,25.000000,43.593750,1.060000,0.930000
2016-02-17 18:20:14 +0000,42.361504,-71.092030,9.877651,25.000000,50.273438,1.000000,0.930000
2016-02-17 18:20:15 +0000,42.361508,-71.092021,9.796932,25.000000,60.820312,0.790000,0.930000
2016-02-17 18:20:16 +0000,42.361510,-71.092012,9.690945,25.000000,63.984375,0.790000,0.930000
2016-02-17 18:20:17 +0000,42.361513,-71.092004,9.487728,25.000000,51.679688,0.790000,0.930000
2016-02-17 18:20:18 +0000,42.361524,-71.091998,8.633205,25.000000,26.015625,0.840000,0.930000
2016-02-17 18:20:19 +0000,42.361537,-71.091999,8.581600,25.000000,12.656250,0.750000,0.930000
2016-02-17 18:20:20 +0000,42.361544,-71.091999,8.370083,25.000000,14.414062,0.810000,0.930000
2016-02-17 18:20:21 +0000,42.361554,-71.091998,7.642269,25.000000,17.929688,0.810000,0.930000
2016-02-17 18:20:22 +0000,42.361565,-71.091995,7.275051,25.000000,27.070312,1.120000,0.930000
2016-02-17 18:20:23 +0000,42.361572,-71.091990,7.122860,25.000000,19.687500,1.120000,0.930000
2016-02-17 18:20:24 +0000,42.361579,-71.091984,6.958126,25.000000,27.070312,1.260000,0.930000
2016-02-17 18:20:25 +0000,42.361584,-71.091976,7.345028,25.000000,35.859375,1.260000,0.930000
2016-02-17 18:20:26 +0000,42.361586,-71.091967,7.325863,25.000000,45.000000,0.840000,0.930000
2016-02-17 18:20:27 +0000,42.361592,-71.091958,7.747433,25.000000,41.484375,0.840000,0.930000
2016-02-17 18:20:28 +0000,42.361599,-71.091946,7.653194,25.000000,35.156250,1.220000,0.930000
2016-02-17 18:20:29 +0000,42.361607,-71.091934,7.691006,25.000000,26.015625,1.340000,0.930000
2016-02-17 18:20:30 +0000,42.361612,-71.091922,7.711819,25.000000,28.125000,1.220000,0.930000
2016-02-17 18:20:31 +0000,42.361616,-71.091911,7.778866,25.000000,31.992188,1.140000,0.930000
2016-02-17 18:20:32 +0000,42.361618,-71.091894,7.717037,25.000000,44.648438,1.140000,0.930000
